state,access_code,station_count
AK,private,6
AK,public,68
AL,private,94
AL,public,521
AR,private,24
AR,public,383
AZ,private,82
AZ,public,1491
CA,private,1149
CA,public,18889
CO,private,142
CO,public,2638
CT,private,148
CT,public,1334
DC,private,47
DC,public,403
DE,private,19
DE,public,286
FL,private,277
FL,public,4046
GA,private,101
GA,public,2348
HI,private,30
HI,public,395
IA,private,23
IA,public,487
ID,private,22
ID,public,221
IL,private,115
IL,public,1620
IN,private,59
IN,public,675
KS,private,35
KS,public,610
KY,private,20
KY,public,356
LA,private,40
LA,public,297
MA,private,176
MA,public,3850
MD,private,118
MD,public,1879
ME,private,24
ME,public,554
MI,private,94
MI,public,1754
MN,private,43
MN,public,1033
MO,private,63
MO,public,1395
MS,private,22
MS,public,198
MT,private,4
MT,public,159
NC,private,104
NC,public,2018
ND,private,2
ND,public,97
NE,private,8
NE,public,301
NH,private,37
NH,public,301
NJ,private,101
NJ,public,1668
NM,private,15
NM,public,395
NV,private,33
NV,public,684
NY,private,239
NY,public,5229
OH,private,98
OH,public,1896
OK,private,32
OK,public,397
OR,private,94
OR,public,1613
PA,private,109
PA,public,2095
RI,private,28
RI,public,365
SC,private,62
SC,public,700
SD,private,3
SD,public,119
TN,private,96
TN,public,1054
TX,private,221
TX,public,4159
UT,private,44
UT,public,1029
VA,private,141
VA,public,1923
VT,private,22
VT,public,489
WA,private,155
WA,public,2813
WI,private,34
WI,public,772
WV,private,17
WV,public,179
WY,private,9
WY,public,112
